iter	Logloss
0	0.6344852355
1	0.5821341592
2	0.5379759862
3	0.4993309104
4	0.4655792043
5	0.43629273
6	0.4093865482
7	0.3865627248
8	0.3671854852
9	0.3493612328
10	0.3344060343
11	0.3211894468
12	0.308727688
13	0.2987203905
14	0.2887396762
15	0.2797669211
16	0.2717946357
17	0.2657123893
18	0.2589278848
19	0.2521409784
20	0.2478916021
21	0.2435352884
22	0.24063778
23	0.2375319515
24	0.2347873048
25	0.2314869412
26	0.2285945377
27	0.2264617296
28	0.2235667157
29	0.2211784421
30	0.2192956654
31	0.2174016598
32	0.2149123208
33	0.2136327909
34	0.2126864735
35	0.2113110657
36	0.2099572407
37	0.20844657
38	0.2072852261
39	0.206141731
40	0.2051351429
41	0.204086943
42	0.2032048651
43	0.2024215664
44	0.2016208881
45	0.2005371056
46	0.1997119429
47	0.199125932
48	0.1982886383
49	0.1974617453
50	0.1969125366
51	0.1962877551
52	0.1956439522
53	0.1951030927
54	0.194698774
55	0.1941720632
56	0.1936574262
57	0.1928361932
58	0.1922589878
59	0.1916419699
60	0.1911505102
61	0.1908195773
62	0.1903898721
63	0.1898343901
64	0.1892424515
65	0.1886067531
66	0.1882423077
67	0.1877159264
68	0.1872869119
69	0.1867332894
70	0.1865507907
71	0.1862089023
72	0.1859496672
73	0.1853626988
74	0.184683515
75	0.1842325878
76	0.1837866104
77	0.1832352888
78	0.182904522
79	0.1824740124
80	0.1819223121
81	0.1812825257
82	0.1807975392
83	0.1803833966
84	0.1799793565
85	0.1794837827
86	0.1789708435
87	0.1786372218
88	0.1781436805
89	0.1780760852
90	0.1777334079
91	0.1773511737
92	0.1767606051
93	0.1763522402
94	0.1759059211
95	0.1755288629
96	0.1751051422
97	0.1747064306
98	0.1744750261
99	0.1741788957
100	0.1737726741
101	0.1735809074
102	0.1731253444
103	0.1724798326
104	0.1720636204
105	0.1719540488
106	0.1714679742
107	0.1709359101
108	0.1706690061
109	0.1702365831
110	0.1698322413
111	0.1695539189
112	0.1692406989
113	0.1688607512
114	0.1685245189
115	0.1681872931
116	0.1678431151
117	0.1676785466
118	0.1673189453
119	0.1670373206
120	0.1666737735
121	0.1663137853
122	0.1660027466
123	0.1656458253
124	0.1653223776
125	0.1651449483
126	0.1649672123
127	0.164773171
128	0.1645005213
129	0.1642068916
130	0.1639101997
131	0.1637274953
132	0.1633832774
133	0.1632341232
134	0.163065931
135	0.1628121251
136	0.1624855175
137	0.162044367
138	0.1617443365
139	0.16130532
140	0.1610843072
141	0.1608559591
142	0.1605085616
143	0.1602915073
144	0.1601064459
145	0.1597236315
146	0.1594605254
147	0.1588950938
148	0.1584708466
149	0.1580225557
150	0.1575253926
151	0.156966628
152	0.1568118286
153	0.1564104104
154	0.1560464782
155	0.1555615093
156	0.1553335184
157	0.1552527455
158	0.1549764084
159	0.1544729259
160	0.1543865774
161	0.1540827739
162	0.1538921721
163	0.1534686112
164	0.1530104892
165	0.1524633054
166	0.1522122221
167	0.1519959829
168	0.1518534308
169	0.1517231634
170	0.1514946336
171	0.1509531154
172	0.1507364342
173	0.1504937957
174	0.1502802183
175	0.1499758184
176	0.1497963659
177	0.1494190784
178	0.1491513845
179	0.1488597516
180	0.1486607614
181	0.1483426491
182	0.1479881607
183	0.1478623328
184	0.1476397856
185	0.1473218886
186	0.1469190217
187	0.1465213865
188	0.1462153091
189	0.146030095
190	0.1457287112
191	0.1454010072
192	0.1453057654
193	0.1449860425
194	0.1446793296
195	0.1443094503
196	0.1441105175
197	0.1437682721
198	0.1435458697
199	0.143019008
200	0.1427797708
201	0.1423843909
202	0.1420641946
203	0.1416716567
204	0.1413187725
205	0.1409373143
206	0.1405987319
207	0.1403141437
208	0.1401624692
209	0.1398776773
210	0.1397613509
211	0.139547656
212	0.1393133308
213	0.1390279706
214	0.1386856411
215	0.1383521066
216	0.1380899513
217	0.1378376567
218	0.1377712917
219	0.1373578413
220	0.1370070833
221	0.1367446576
222	0.136303545
223	0.135883802
224	0.1354528154
225	0.1351062967
226	0.1347575025
227	0.1343689323
228	0.1340908974
229	0.1337362104
230	0.1336006201
231	0.133284014
232	0.1329023489
233	0.1327014775
234	0.1324020593
235	0.1322167962
236	0.1319727381
237	0.131643028
238	0.1313104688
239	0.1310084164
240	0.1307415714
241	0.1303333083
242	0.1299867041
243	0.1296223146
244	0.129308553
245	0.1290950796
246	0.1289417218
247	0.1286187252
248	0.1283905976
249	0.1279850178
250	0.1274364315
251	0.1271583932
252	0.1268017361
253	0.1265976807
254	0.1260850286
255	0.1257287051
256	0.1255650162
257	0.1253180772
258	0.125077981
259	0.1247758206
260	0.1246630096
261	0.1245006665
262	0.1241788362
263	0.1238149029
264	0.1236450238
265	0.1233452913
266	0.1231117462
267	0.1230006506
268	0.1226228342
269	0.1223855613
270	0.1221693416
271	0.1218232634
272	0.1214851376
273	0.1210003065
274	0.1208456319
275	0.1207142858
276	0.1206055831
277	0.1203897275
278	0.120119211
279	0.1199772132
280	0.1198958877
281	0.1197831144
282	0.1195086879
283	0.1194043511
284	0.1193344969
285	0.1192258984
286	0.1189805569
287	0.118762056
288	0.1185147897
289	0.1182957514
290	0.1182189818
291	0.11805899
292	0.1180102233
293	0.1176990046
294	0.1175831111
295	0.1174761433
296	0.1172130365
297	0.1168816849
298	0.1167000469
299	0.116480055
